frame,secondsSinceCut,released,moving,maxDropCm,meanDropCm,maxDisplacementCm,belowGround,realMsSinceLastFrame
386,6.4167,974,7,532.994,363.856,769.908,0,16.91
387,6.4333,974,9,532.993,363.855,769.908,0,17.73
388,6.4500,974,6,532.994,363.855,769.908,0,16.73
389,6.4667,974,10,532.995,363.855,769.908,0,17.41
390,6.4833,974,6,532.993,363.855,769.908,0,18.84
391,6.5000,974,9,532.993,363.855,769.908,0,18.92
392,6.5167,974,7,532.993,363.855,769.908,0,17.27
393,6.5333,974,6,532.994,363.855,769.908,0,17.02
394,6.5500,974,8,532.992,363.855,769.908,0,17.39
395,6.5667,974,5,532.993,363.855,769.908,0,17.44
396,6.5833,974,8,532.994,363.856,769.908,0,17.80
397,6.6000,974,12,532.994,363.856,769.908,0,19.56
398,6.6167,974,9,532.994,363.856,769.908,0,16.96
399,6.6333,974,6,532.995,363.856,769.908,0,17.36
400,6.6500,974,6,532.993,363.856,769.908,0,18.32
401,6.6667,974,7,532.993,363.856,769.908,0,17.86
402,6.6833,974,8,532.994,363.856,769.908,0,17.54
403,6.7000,974,6,532.994,363.856,769.908,0,19.46
404,6.7167,974,5,532.993,363.856,769.908,0,16.89
405,6.7333,974,6,532.993,363.856,769.908,0,16.90
406,6.7500,974,9,532.994,363.856,769.908,0,16.99
407,6.7667,974,7,532.994,363.856,769.908,0,17.93
408,6.7833,974,7,532.993,363.856,769.908,0,17.20
409,6.8000,974,7,532.995,363.856,769.908,0,19.39
410,6.8167,974,10,532.993,363.856,769.908,0,16.88
411,6.8333,974,7,532.993,363.856,769.908,0,17.18
412,6.8500,974,6,532.993,363.856,769.908,0,18.23
413,6.8667,974,8,532.994,363.856,769.908,0,17.24
414,6.8833,974,6,532.993,363.856,769.908,0,16.63
415,6.9000,974,9,532.993,363.856,769.908,0,19.52
416,6.9167,974,10,532.994,363.856,769.908,0,17.07
417,6.9333,974,7,532.994,363.856,769.908,0,16.89
418,6.9500,974,7,532.993,363.856,769.908,0,19.69
419,6.9667,974,7,532.993,363.856,769.908,0,18.85
420,6.9833,974,2,532.993,363.856,769.908,0,16.48
421,7.0000,974,7,532.994,363.856,769.908,0,18.80
422,7.0167,974,7,532.993,363.856,769.908,0,18.83
423,7.0333,974,9,532.993,363.855,769.908,0,17.58
424,7.0500,974,8,532.994,363.856,769.908,0,16.93
425,7.0667,974,11,532.994,363.856,769.908,0,17.99
426,7.0833,974,9,532.994,363.855,769.908,0,17.48
427,7.1000,974,10,532.993,363.856,769.908,0,18.87
428,7.1167,974,8,532.995,363.855,769.908,0,17.59
429,7.1333,974,9,532.993,363.855,769.908,0,17.17
430,7.1500,974,7,532.993,363.856,769.908,0,17.05
431,7.1667,974,12,532.993,363.855,769.908,0,17.52
432,7.1833,974,11,532.995,363.855,769.908,0,16.66
433,7.2000,974,7,532.994,363.856,769.908,0,18.92
434,7.2167,974,12,532.993,363.856,769.908,0,18.10
435,7.2333,974,9,532.993,363.857,769.908,0,16.73
436,7.2500,974,13,532.993,363.857,769.908,0,16.57
437,7.2667,974,14,532.992,363.859,769.908,0,17.35
438,7.2833,974,16,532.993,363.860,769.908,0,17.83
439,7.3000,974,14,532.994,363.862,769.908,0,19.02
440,7.3167,974,12,532.994,363.864,769.908,0,18.16
441,7.3333,974,9,532.995,363.866,769.908,0,16.96
442,7.3500,974,8,532.994,363.867,769.908,0,18.34
443,7.3667,974,5,532.992,363.869,769.908,0,17.49
444,7.3833,974,11,532.993,363.870,769.908,0,16.79
445,7.4000,974,7,532.994,363.870,769.908,0,19.05
446,7.4167,974,4,532.994,363.870,769.908,0,17.89
447,7.4333,974,6,532.994,363.870,769.908,0,17.82
448,7.4500,974,8,532.993,363.870,769.908,0,17.42
449,7.4667,974,9,532.993,363.871,769.908,0,17.63
450,7.4833,974,5,532.993,363.870,769.908,0,16.93
451,7.5000,974,4,532.993,363.870,769.908,0,18.86
452,7.5167,974,7,532.993,363.870,769.908,0,16.99
453,7.5333,974,3,532.992,363.870,769.908,0,17.06
454,7.5500,974,7,532.994,363.870,769.908,0,17.56
455,7.5667,974,4,532.994,363.870,769.908,0,18.25
456,7.5833,974,3,532.994,363.869,769.908,0,16.94
457,7.6000,974,7,532.994,363.870,769.908,0,19.78
458,7.6167,974,6,532.993,363.870,769.908,0,18.13
459,7.6333,974,7,532.993,363.870,769.908,0,17.25
460,7.6500,974,7,532.993,363.870,769.908,0,16.89
461,7.6667,974,5,532.993,363.870,769.908,0,17.23
462,7.6833,974,6,532.993,363.870,769.908,0,18.69
463,7.7000,974,4,532.994,363.870,769.908,0,19.34
464,7.7167,974,3,532.993,363.871,769.908,0,16.45
465,7.7333,974,4,532.993,363.871,769.908,0,17.18
466,7.7500,974,6,532.994,363.871,769.908,0,17.10
467,7.7667,974,3,532.994,363.870,769.908,0,16.94
468,7.7833,974,5,532.994,363.871,769.908,0,17.11
469,7.8000,974,6,532.992,363.870,769.908,0,20.46
470,7.8167,974,4,532.993,363.870,769.908,0,17.45
471,7.8333,974,7,532.994,363.870,769.908,0,16.76
472,7.8500,974,6,532.994,363.870,769.908,0,18.18
