piece,released,removed,laidX,laidY,laidZ,finalX,finalY,finalZ,displacementCm,dropCm
4446,0,0,146.250,337.500,187.500,146.250,337.500,187.500,0.000,0.000
4447,0,0,146.250,-11.250,195.000,146.250,-11.250,195.000,0.000,0.000
4448,0,0,146.250,337.500,195.000,146.250,337.500,195.000,0.000,0.000
4449,0,0,146.250,-11.250,202.500,146.250,-11.250,202.500,0.000,0.000
4450,0,0,146.250,337.500,202.500,146.250,337.500,202.500,0.000,0.000
4451,0,0,146.250,-11.250,210.000,146.250,-11.250,210.000,0.000,0.000
4452,0,0,146.250,337.500,210.000,146.250,337.500,210.000,0.000,0.000
4453,0,0,146.250,-11.250,217.500,146.250,-11.250,217.500,0.000,0.000
4454,0,0,146.250,337.500,217.500,146.250,337.500,217.500,0.000,0.000
4455,0,0,146.250,-11.250,225.000,146.250,-11.250,225.000,0.000,0.000
4456,0,0,146.250,337.500,225.000,146.250,337.500,225.000,0.000,0.000
4457,0,0,146.250,-11.250,232.500,146.250,-11.250,232.500,0.000,0.000
4458,0,0,146.250,337.500,232.500,146.250,337.500,232.500,0.000,0.000
4459,0,0,146.250,-11.250,240.000,146.250,-11.250,240.000,0.000,0.000
4460,0,0,146.250,337.500,240.000,146.250,337.500,240.000,0.000,0.000
4461,0,0,146.250,-11.250,247.500,146.250,-11.250,247.500,0.000,0.000
4462,0,0,146.250,337.500,247.500,146.250,337.500,247.500,0.000,0.000
4463,0,0,146.250,-11.250,255.000,146.250,-11.250,255.000,0.000,0.000
4464,0,0,146.250,337.500,255.000,146.250,337.500,255.000,0.000,0.000
4465,0,0,146.250,-11.250,262.500,146.250,-11.250,262.500,0.000,0.000
4466,0,0,146.250,337.500,262.500,146.250,337.500,262.500,0.000,0.000
4467,0,0,146.250,-11.250,270.000,146.250,-11.250,270.000,0.000,0.000
4468,0,0,146.250,337.500,270.000,146.250,337.500,270.000,0.000,0.000
4469,0,0,146.250,-11.250,277.500,146.250,-11.250,277.500,0.000,0.000
4470,0,1,,,,,,,,
4471,0,0,146.250,-11.250,285.000,146.250,-11.250,285.000,0.000,0.000
4472,1,0,146.250,337.500,285.000,146.098,339.043,276.523,8.618,8.477
4473,0,0,146.250,-11.250,292.500,146.250,-11.250,292.500,0.000,0.000
4474,1,0,146.250,337.500,292.500,147.759,357.975,-0.541,293.760,293.041
4475,0,0,146.250,-11.250,300.000,146.250,-11.250,300.000,0.000,0.000
4476,1,0,146.250,337.500,300.000,141.159,417.137,-0.493,310.909,300.493
4477,0,0,146.250,-11.250,307.500,146.250,-11.250,307.500,0.000,0.000
4478,1,0,146.250,337.500,307.500,158.696,387.538,13.690,298.300,293.810
4479,0,0,146.250,-11.250,315.000,146.250,-11.250,315.000,0.000,0.000
4480,1,0,146.250,337.500,315.000,150.102,336.557,283.031,32.214,31.969
4481,0,0,146.250,-11.250,322.500,146.250,-11.250,322.500,0.000,0.000
4482,1,0,146.250,337.500,322.500,170.647,264.144,-0.498,332.120,322.998
4483,0,0,146.250,-11.250,330.000,146.250,-11.250,330.000,0.000,0.000
4484,1,0,146.250,337.500,330.000,158.116,324.049,6.050,324.446,323.950
4485,0,0,146.250,-11.250,337.500,146.250,-11.250,337.500,0.000,0.000
4486,1,0,146.250,337.500,337.500,104.995,409.947,3.955,343.806,333.545
4487,0,0,146.250,-11.250,345.000,146.250,-11.250,345.000,0.000,0.000
4488,1,0,146.250,337.500,345.000,97.348,482.547,-0.494,377.883,345.494
4489,0,0,146.250,-11.250,352.500,146.250,-11.250,352.500,0.000,0.000
4490,1,0,146.250,337.500,352.500,252.508,486.142,-0.494,397.480,352.994
4491,0,0,146.250,-11.250,360.000,146.250,-11.250,360.000,0.000,0.000
4492,1,0,146.250,337.500,360.000,226.191,451.936,-0.500,386.583,360.500
4493,0,0,146.250,-11.250,367.500,146.250,-11.250,367.500,0.000,0.000
4494,1,0,146.250,337.500,367.500,167.619,430.245,-0.493,380.102,367.993
4495,0,0,146.250,-11.250,375.000,146.250,-11.250,375.000,0.000,0.000
4496,1,0,146.250,337.500,375.000,171.270,504.764,21.021,392.306,353.979
4497,0,0,146.250,-11.250,382.500,146.250,-11.250,382.500,0.000,0.000
4498,1,0,146.250,337.500,382.500,125.234,528.158,6.008,422.538,376.492
4499,0,0,146.250,-11.250,390.000,146.250,-11.250,390.000,0.000,0.000
4500,1,0,146.250,337.500,390.000,207.123,528.868,9.775,429.998,380.225
4501,0,0,146.250,-11.250,397.500,146.250,-11.250,397.500,0.000,0.000
4502,1,0,146.250,337.500,397.500,204.553,539.088,6.008,444.188,391.492
4503,0,0,146.250,-11.250,405.000,146.250,-11.250,405.000,0.000,0.000
4504,1,0,146.250,337.500,405.000,162.205,486.781,6.008,426.303,398.992
4505,0,0,146.250,-11.250,412.500,146.250,-11.250,412.500,0.000,0.000
4506,1,0,146.250,337.500,412.500,160.339,470.270,5.987,427.877,406.513
4507,0,0,146.250,-11.250,420.000,146.250,-11.250,420.000,0.000,0.000
4508,1,0,146.250,337.500,420.000,103.198,543.406,-0.680,470.343,420.680
4509,0,0,146.250,-11.250,427.500,146.250,-11.250,427.500,0.000,0.000
4510,1,0,146.250,337.500,427.500,203.448,245.757,20.178,421.426,407.322
4511,0,0,146.250,-11.250,435.000,146.250,-11.250,435.000,0.000,0.000
4512,1,0,146.250,337.500,435.000,150.212,220.129,9.763,441.156,425.237
4513,0,0,146.250,-11.250,442.500,146.250,-11.250,442.500,0.000,0.000
4514,1,0,146.250,337.500,442.500,153.634,294.942,5.593,439.037,436.907
4515,0,0,146.250,-11.250,450.000,146.250,-11.250,450.000,0.000,0.000
4516,1,0,146.250,337.500,450.000,145.616,409.121,-0.488,456.147,450.488
4517,0,0,146.250,-11.250,457.500,146.250,-11.250,457.500,0.000,0.000
4518,1,0,146.250,337.500,457.500,143.913,375.915,6.965,452.176,450.535
4519,0,0,258.750,-11.250,0.000,258.750,-11.250,0.000,0.000,0.000
4520,0,0,258.750,337.500,0.000,258.750,337.500,0.000,0.000,0.000
4521,0,0,258.750,-11.250,7.500,258.750,-11.250,7.500,0.000,0.000
4522,0,0,258.750,337.500,7.500,258.750,337.500,7.500,0.000,0.000
4523,0,0,258.750,-11.250,15.000,258.750,-11.250,15.000,0.000,0.000
4524,0,0,258.750,337.500,15.000,258.750,337.500,15.000,0.000,0.000
4525,0,0,258.750,-11.250,22.500,258.750,-11.250,22.500,0.000,0.000
4526,0,0,258.750,337.500,22.500,258.750,337.500,22.500,0.000,0.000
4527,0,0,258.750,-11.250,30.000,258.750,-11.250,30.000,0.000,0.000
4528,0,0,258.750,337.500,30.000,258.750,337.500,30.000,0.000,0.000
4529,0,0,258.750,-11.250,37.500,258.750,-11.250,37.500,0.000,0.000
4530,0,0,258.750,337.500,37.500,258.750,337.500,37.500,0.000,0.000
4531,0,0,258.750,-11.250,45.000,258.750,-11.250,45.000,0.000,0.000
4532,0,0,258.750,337.500,45.000,258.750,337.500,45.000,0.000,0.000
4533,0,0,258.750,-11.250,52.500,258.750,-11.250,52.500,0.000,0.000
4534,0,0,258.750,337.500,52.500,258.750,337.500,52.500,0.000,0.000
4535,0,0,258.750,-11.250,60.000,258.750,-11.250,60.000,0.000,0.000
4536,0,0,258.750,337.500,60.000,258.750,337.500,60.000,0.000,0.000
4537,0,0,258.750,-11.250,67.500,258.750,-11.250,67.500,0.000,0.000
4538,0,0,258.750,337.500,67.500,258.750,337.500,67.500,0.000,0.000
4539,0,0,258.750,-11.250,75.000,258.750,-11.250,75.000,0.000,0.000
4540,0,0,258.750,337.500,75.000,258.750,337.500,75.000,0.000,0.000
4541,0,0,258.750,-11.250,82.500,258.750,-11.250,82.500,0.000,0.000
4542,0,0,258.750,337.500,82.500,258.750,337.500,82.500,0.000,0.000
4543,0,0,258.750,-11.250,90.000,258.750,-11.250,90.000,0.000,0.000
4544,0,0,258.750,337.500,90.000,258.750,337.500,90.000,0.000,0.000
4545,0,0,258.750,-11.250,97.500,258.750,-11.250,97.500,0.000,0.000
4546,0,0,258.750,337.500,97.500,258.750,337.500,97.500,0.000,0.000
4547,0,0,258.750,-11.250,105.000,258.750,-11.250,105.000,0.000,0.000
4548,0,0,258.750,337.500,105.000,258.750,337.500,105.000,0.000,0.000
4549,0,0,258.750,-11.250,112.500,258.750,-11.250,112.500,0.000,0.000
4550,0,0,258.750,337.500,112.500,258.750,337.500,112.500,0.000,0.000
4551,0,0,258.750,-11.250,120.000,258.750,-11.250,120.000,0.000,0.000
4552,0,0,258.750,337.500,120.000,258.750,337.500,120.000,0.000,0.000
4553,0,0,258.750,-11.250,127.500,258.750,-11.250,127.500,0.000,0.000
4554,0,0,258.750,337.500,127.500,258.750,337.500,127.500,0.000,0.000
4555,0,0,258.750,-11.250,135.000,258.750,-11.250,135.000,0.000,0.000
4556,0,0,258.750,337.500,135.000,258.750,337.500,135.000,0.000,0.000
4557,0,0,258.750,-11.250,142.500,258.750,-11.250,142.500,0.000,0.000
4558,0,0,258.750,337.500,142.500,258.750,337.500,142.500,0.000,0.000
4559,0,0,258.750,-11.250,150.000,258.750,-11.250,150.000,0.000,0.000
4560,0,0,258.750,337.500,150.000,258.750,337.500,150.000,0.000,0.000
4561,0,0,258.750,-11.250,157.500,258.750,-11.250,157.500,0.000,0.000
4562,0,0,258.750,337.500,157.500,258.750,337.500,157.500,0.000,0.000
4563,0,0,258.750,-11.250,165.000,258.750,-11.250,165.000,0.000,0.000
4564,0,0,258.750,337.500,165.000,258.750,337.500,165.000,0.000,0.000
4565,0,0,258.750,-11.250,172.500,258.750,-11.250,172.500,0.000,0.000
4566,0,0,258.750,337.500,172.500,258.750,337.500,172.500,0.000,0.000
4567,0,0,258.750,-11.250,180.000,258.750,-11.250,180.000,0.000,0.000
4568,0,0,258.750,337.500,180.000,258.750,337.500,180.000,0.000,0.000
4569,0,0,258.750,-11.250,187.500,258.750,-11.250,187.500,0.000,0.000
4570,0,0,258.750,337.500,187.500,258.750,337.500,187.500,0.000,0.000
4571,0,0,258.750,-11.250,195.000,258.750,-11.250,195.000,0.000,0.000
4572,0,0,258.750,337.500,195.000,258.750,337.500,195.000,0.000,0.000
