frame,secondsSinceCut,released,moving,maxDropCm,meanDropCm,maxDisplacementCm,belowGround,realMsSinceLastFrame
424,7.0500,718,1,465.486,353.838,733.881,0,12.98
425,7.0667,718,1,465.486,353.838,733.881,0,13.48
426,7.0833,718,1,465.486,353.838,733.881,0,13.32
427,7.1000,718,1,465.486,353.838,733.881,0,12.49
428,7.1167,718,1,465.486,353.838,733.881,0,12.67
429,7.1333,718,2,465.486,353.838,733.881,0,13.09
430,7.1500,718,0,465.486,353.838,733.881,0,12.82
431,7.1667,718,0,465.486,353.838,733.881,0,12.87
432,7.1833,718,2,465.486,353.838,733.881,0,12.68
433,7.2000,718,0,465.486,353.838,733.881,0,13.01
434,7.2167,718,2,465.486,353.838,733.881,0,12.91
435,7.2333,718,2,465.486,353.838,733.881,0,13.53
436,7.2500,718,1,465.486,353.838,733.881,0,13.39
437,7.2667,718,1,465.486,353.838,733.881,0,13.02
438,7.2833,718,1,465.486,353.838,733.881,0,12.89
439,7.3000,718,0,465.486,353.838,733.881,0,12.03
440,7.3167,718,0,465.486,353.839,733.881,0,13.82
441,7.3333,718,1,465.486,353.838,733.881,0,12.86
442,7.3500,718,2,465.486,353.839,733.881,0,15.05
443,7.3667,718,0,465.486,353.839,733.881,0,12.92
444,7.3833,718,1,465.486,353.839,733.881,0,14.06
445,7.4000,718,0,465.486,353.839,733.881,0,13.11
446,7.4167,718,0,465.486,353.838,733.881,0,13.00
447,7.4333,718,0,465.486,353.838,733.881,0,14.02
448,7.4500,718,1,465.486,353.838,733.881,0,12.62
449,7.4667,718,1,465.486,353.838,733.881,0,15.07
450,7.4833,718,2,465.486,353.838,733.881,0,12.61
451,7.5000,718,2,465.486,353.838,733.881,0,14.02
452,7.5167,718,0,465.486,353.838,733.881,0,13.07
453,7.5333,718,1,465.486,353.838,733.881,0,13.43
454,7.5500,718,1,465.486,353.838,733.881,0,13.00
455,7.5667,718,1,465.486,353.838,733.881,0,12.40
456,7.5833,718,0,465.486,353.838,733.881,0,14.72
457,7.6000,718,1,465.486,353.838,733.881,0,11.84
458,7.6167,718,2,465.486,353.838,733.881,0,13.89
459,7.6333,718,1,465.486,353.838,733.881,0,12.94
460,7.6500,718,1,465.486,353.838,733.881,0,13.57
461,7.6667,718,0,465.486,353.838,733.881,0,11.72
462,7.6833,718,2,465.486,353.838,733.881,0,13.62
463,7.7000,718,0,465.486,353.838,733.881,0,12.78
464,7.7167,718,1,465.486,353.838,733.881,0,13.38
465,7.7333,718,1,465.486,353.838,733.881,0,12.33
466,7.7500,718,0,465.486,353.838,733.881,0,13.46
467,7.7667,718,0,465.486,353.838,733.881,0,12.28
468,7.7833,718,1,465.486,353.838,733.881,0,13.47
469,7.8000,718,1,465.486,353.838,733.881,0,13.91
470,7.8167,718,0,465.486,353.838,733.881,0,13.69
471,7.8333,718,0,465.486,353.838,733.881,0,12.69
472,7.8500,718,1,465.486,353.838,733.881,0,13.42
